id,nctn,invn,suffix,tsk,lir,ogtd,cls,controllo_inventario,rifatta,
10425,1600010425,65444,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10426,1600010426,65445,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10427,1600010427,65446,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10428,1600010428,65447,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10429,1600010429,65448,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10430,1600010430,65449,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10431,1600010431,65450,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10432,1600010432,65451,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10433,1600010433,65452,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10434,1600010434,65453,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10435,1600010435,65454,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10436,1600010436,65455,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10437,1600010437,65456,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10438,1600010438,65457,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10439,1600010439,65458,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10440,1600010440,65459,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10441,1600010441,65460,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10442,1600010442,65461,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10443,1600010443,65462,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10444,1600010444,65463,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10445,1600010445,65464,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10446,1600010446,65465,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10447,1600010447,65466,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10448,1600010448,65467,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10449,1600010449,65468,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10450,1600010450,65469,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10451,1600010451,65470,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10452,1600010452,65471,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10453,1600010453,65472,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10454,1600010454,65473,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10455,1600010455,65474,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10456,1600010456,65475,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
