id,scheda,materia,tecnica
80,,186,Tecnica non presente in lista
81,,186,Tecnica non presente in lista
82,,186,Tecnica non presente in lista
83,,186,Tecnica non presente in lista
84,,186,Tecnica non presente in lista
85,,186,Tecnica non presente in lista
86,,186,Tecnica non presente in lista
87,,186,Tecnica non presente in lista
88,,186,Tecnica non presente in lista
89,,186,Tecnica non presente in lista
90,,186,Tecnica non presente in lista
91,,186,Tecnica non presente in lista
116,,186,Tecnica non presente in lista
117,,186,Tecnica non presente in lista
469,,186,Tecnica non presente in lista
477,,186,Tecnica non presente in lista
478,,186,Tecnica non presente in lista
479,,186,Tecnica non presente in lista
480,,186,Tecnica non presente in lista
481,,186,Tecnica non presente in lista
482,,186,Tecnica non presente in lista
483,,186,Tecnica non presente in lista
484,,186,Tecnica non presente in lista
485,,186,Tecnica non presente in lista
486,,186,Tecnica non presente in lista
487,,186,Tecnica non presente in lista
488,,186,Tecnica non presente in lista
491,,186,Tecnica non presente in lista
492,,186,Tecnica non presente in lista
507,,186,Tecnica non presente in lista
514,,186,Tecnica non presente in lista
112,,186,Tecnica non presente in lista
147,,186,Tecnica non presente in lista
590,,189,Tecnica non presente in lista
591,,189,Tecnica non presente in lista
505,,191,Tecnica non presente in lista
508,,191,Tecnica non presente in lista
509,,191,Tecnica non presente in lista
510,,191,Tecnica non presente in lista
590,,191,Tecnica non presente in lista
591,,191,Tecnica non presente in lista
552,,191,Tecnica non presente in lista
593,,191,Tecnica non presente in lista
525,,191,Tecnica non presente in lista
592,,191,Tecnica non presente in lista
9,,208,Tecnica non presente in lista
241,,208,Tecnica non presente in lista
470,,208,Tecnica non presente in lista
471,,208,Tecnica non presente in lista
472,,208,Tecnica non presente in lista
473,,208,Tecnica non presente in lista
193,,208,Tecnica non presente in lista
512,,223,Tecnica non presente in lista
2,,88,Tecnica non presente in lista
125,,88,Tecnica non presente in lista
149,,88,Tecnica non presente in lista
150,,88,Tecnica non presente in lista
157,,88,Tecnica non presente in lista
158,,88,Tecnica non presente in lista
112,,88,Tecnica non presente in lista
193,,88,Tecnica non presente in lista
147,,88,Tecnica non presente in lista
204,,241,Tecnica non presente in lista
2,,253,Tecnica non presente in lista
28,,253,Tecnica non presente in lista
32,,253,Tecnica non presente in lista
33,,253,Tecnica non presente in lista
41,,253,Tecnica non presente in lista
103,,253,Tecnica non presente in lista
104,,253,Tecnica non presente in lista
106,,253,Tecnica non presente in lista
107,,253,Tecnica non presente in lista
108,,253,Tecnica non presente in lista
118,,253,Tecnica non presente in lista
119,,253,Tecnica non presente in lista
120,,253,Tecnica non presente in lista
121,,253,Tecnica non presente in lista
126,,253,Tecnica non presente in lista
137,,253,Tecnica non presente in lista
138,,253,Tecnica non presente in lista
140,,253,Tecnica non presente in lista
146,,253,Tecnica non presente in lista
148,,253,Tecnica non presente in lista
149,,253,Tecnica non presente in lista
152,,253,Tecnica non presente in lista
153,,253,Tecnica non presente in lista
154,,253,Tecnica non presente in lista
159,,253,Tecnica non presente in lista
160,,253,Tecnica non presente in lista
161,,253,Tecnica non presente in lista
162,,253,Tecnica non presente in lista
177,,253,Tecnica non presente in lista
178,,253,Tecnica non presente in lista
179,,253,Tecnica non presente in lista
180,,253,Tecnica non presente in lista
