"scheda","dtsi","dtsf","start","end","id","value"
26758,-1,-100,0,99,30,"I  secolo d.C."
26759,-1,-100,0,99,30,"I  secolo d.C."
26760,-1,-100,0,99,30,"I  secolo d.C."
26761,-1,-100,0,99,30,"I  secolo d.C."
26762,-1,-100,0,99,30,"I  secolo d.C."
26763,-1,-100,0,99,30,"I  secolo d.C."
26764,-1,-100,0,99,30,"I  secolo d.C."
26765,-1,-100,0,99,30,"I  secolo d.C."
26766,-1,-100,0,99,30,"I  secolo d.C."
26767,-1,-100,0,99,30,"I  secolo d.C."
26768,-1,-100,0,99,30,"I  secolo d.C."
26769,-1,-100,0,99,30,"I  secolo d.C."
26770,-1,-100,0,99,30,"I  secolo d.C."
26771,-1,-100,0,99,30,"I  secolo d.C."
26772,-1,-100,0,99,30,"I  secolo d.C."
26775,-1,-100,0,99,30,"I  secolo d.C."
26777,-1,-100,0,99,30,"I  secolo d.C."
26783,-1,-100,0,99,30,"I  secolo d.C."
26785,-1,-100,0,99,30,"I  secolo d.C."
26794,-1,-100,0,99,30,"I  secolo d.C."
26795,-1,-100,0,99,30,"I  secolo d.C."
26802,-1,-50,0,99,30,"I  secolo d.C."
26805,-1,-50,0,99,30,"I  secolo d.C."
26806,-51,-100,0,99,30,"I  secolo d.C."
26810,-51,-100,0,99,30,"I  secolo d.C."
26811,-51,-100,0,99,30,"I  secolo d.C."
26814,-51,-100,0,99,30,"I  secolo d.C."
26815,-1,-100,0,99,30,"I  secolo d.C."
26817,-1,-50,0,99,30,"I  secolo d.C."
26818,-51,-100,0,99,30,"I  secolo d.C."
26834,-1,-100,0,99,30,"I  secolo d.C."
26835,-1,-100,0,99,30,"I  secolo d.C."
26836,-1,-100,0,99,30,"I  secolo d.C."
26837,-1,-100,0,99,30,"I  secolo d.C."
26838,-1,-100,0,99,30,"I  secolo d.C."
26839,-1,-100,0,99,30,"I  secolo d.C."
26840,-1,-100,0,99,30,"I  secolo d.C."
26841,-1,-100,0,99,30,"I  secolo d.C."
26842,-1,-100,0,99,30,"I  secolo d.C."
26843,-1,-100,0,99,30,"I  secolo d.C."
26844,-1,-100,0,99,30,"I  secolo d.C."
26845,-1,-100,0,99,30,"I  secolo d.C."
26846,-1,-100,0,99,30,"I  secolo d.C."
26847,-1,-100,0,99,30,"I  secolo d.C."
26848,-1,-100,0,99,30,"I  secolo d.C."
26849,-1,-100,0,99,30,"I  secolo d.C."
26850,-1,-100,0,99,30,"I  secolo d.C."
26851,-1,-100,0,99,30,"I  secolo d.C."
26852,-1,-100,0,99,30,"I  secolo d.C."
26863,-25,-100,0,99,30,"I  secolo d.C."
26888,-1,-100,0,99,30,"I  secolo d.C."
26889,-1,-100,0,99,30,"I  secolo d.C."
26890,-1,-100,0,99,30,"I  secolo d.C."
26784,-1,-50,0,99,30,"I  secolo d.C."
26787,-1,-50,0,99,30,"I  secolo d.C."
26891,-1,-100,0,99,30,"I  secolo d.C."
26892,-1,-100,0,99,30,"I  secolo d.C."
26893,-1,-100,0,99,30,"I  secolo d.C."
26894,-1,-100,0,99,30,"I  secolo d.C."
26895,-1,-100,0,99,30,"I  secolo d.C."
26896,-1,-100,0,99,30,"I  secolo d.C."
26897,-1,-100,0,99,30,"I  secolo d.C."
26898,-1,-100,0,99,30,"I  secolo d.C."
26899,-1,-100,0,99,30,"I  secolo d.C."
26900,-1,-100,0,99,30,"I  secolo d.C."
26901,-1,-100,0,99,30,"I  secolo d.C."
26902,-1,-100,0,99,30,"I  secolo d.C."
26903,-1,-100,0,99,30,"I  secolo d.C."
26904,-1,-100,0,99,30,"I  secolo d.C."
26905,-1,-100,0,99,30,"I  secolo d.C."
26906,-41,-60,0,99,30,"I  secolo d.C."
26907,-41,-60,0,99,30,"I  secolo d.C."
26908,-51,-100,0,99,30,"I  secolo d.C."
26915,-1,-50,0,99,30,"I  secolo d.C."
26916,-1,-50,0,99,30,"I  secolo d.C."
26921,-15,-100,0,99,30,"I  secolo d.C."
26922,-15,-100,0,99,30,"I  secolo d.C."
26930,-51,-100,0,99,30,"I  secolo d.C."
26931,-1,-100,0,99,30,"I  secolo d.C."
26935,-41,-60,0,99,30,"I  secolo d.C."
26937,-1,-100,0,99,30,"I  secolo d.C."
26951,-1,-50,0,99,30,"I  secolo d.C."
26952,-1,-50,0,99,30,"I  secolo d.C."
26953,-1,-50,0,99,30,"I  secolo d.C."
26976,-51,-100,0,99,30,"I  secolo d.C."
26980,-1,-100,0,99,30,"I  secolo d.C."
26981,-1,-100,0,99,30,"I  secolo d.C."
26982,-1,-100,0,99,30,"I  secolo d.C."
26983,-1,-100,0,99,30,"I  secolo d.C."
26984,-1,-100,0,99,30,"I  secolo d.C."
26985,-1,-100,0,99,30,"I  secolo d.C."
26986,-1,-100,0,99,30,"I  secolo d.C."
26987,-1,-100,0,99,30,"I  secolo d.C."
26988,-1,-100,0,99,30,"I  secolo d.C."
27008,-1,-100,0,99,30,"I  secolo d.C."
27009,-1,-100,0,99,30,"I  secolo d.C."
27010,-1,-100,0,99,30,"I  secolo d.C."
27011,-1,-100,0,99,30,"I  secolo d.C."
27012,-1,-100,0,99,30,"I  secolo d.C."
27013,-1,-100,0,99,30,"I  secolo d.C."
27020,-51,-100,0,99,30,"I  secolo d.C."
27021,-51,-100,0,99,30,"I  secolo d.C."
27022,-51,-100,0,99,30,"I  secolo d.C."
27023,-51,-100,0,99,30,"I  secolo d.C."
27024,-51,-100,0,99,30,"I  secolo d.C."
27025,-51,-100,0,99,30,"I  secolo d.C."
27026,-51,-100,0,99,30,"I  secolo d.C."
27027,-76,-100,0,99,30,"I  secolo d.C."
27032,-1,-50,0,99,30,"I  secolo d.C."
27034,-41,-60,0,99,30,"I  secolo d.C."
27035,-41,-60,0,99,30,"I  secolo d.C."
27036,-41,-60,0,99,30,"I  secolo d.C."
27015,-1,-100,0,99,30,"I  secolo d.C."
27016,-1,-100,0,99,30,"I  secolo d.C."
27017,-1,-100,0,99,30,"I  secolo d.C."
27018,-1,-100,0,99,30,"I  secolo d.C."
27048,-51,-100,0,99,30,"I  secolo d.C."
