nctn,stis,stid
324865,100,2008
324866,100,2008
324867,100,2008
324868,100,2008
324869,100,2008
324870,100,2008
324871,100,2008
324872,100,2008
324873,100,2008
324874,100,2008
324875,100,2008
324876,100,2008
324877,100,2008
324878,100,2008
324879,100,2008
324880,100,2008
324881,100,2008
324882,100,2008
324883,100,2008
324884,100,2008
324885,100,2008
324886,100,2008
324887,100,2008
324888,100,2008
324889,100,2008
324890,100,2008
324891,100,2008
324892,100,2008
324893,100,2008
324894,100,2008
324895,100,2008
324896,100,2008
324897,100,2008
324898,100,2008
324899,100,2008
324900,100,2008
324901,100,2008
324902,100,2008
324903,100,2008
324904,100,2008
324905,100,2008
324906,100,2008
324907,100,2008
324908,100,2008
324909,100,2008
324910,100,2008
324911,100,2008
324912,100,2008
324913,100,2008
324914,100,2008
324915,100,2008
324916,100,2008
324917,100,2008
324918,100,2008
324919,100,2008
324920,100,2008
324921,100,2008
324922,100,2008
324923,100,2008
324924,100,2008
324925,100,2008
324926,100,2008
324927,100,2008
324928,100,2008
324929,100,2008
324930,100,2008
324931,100,2008
324932,100,2008
324933,100,2008
324934,100,2008
324935,100,2008
324936,100,2008
324937,100,2008
324938,100,2008
324939,100,2008
324940,100,2008
324941,100,2008
324942,100,2008
324943,100,2008
324944,100,2008
324945,100,2008
324946,100,2008
324947,100,2008
324948,100,2008
324949,100,2008
324950,100,2008
324951,100,2008
324952,100,2008
324953,100,2008
324954,100,2008
324955,100,2008
324956,100,2008
324957,100,2008
324958,100,2008
324959,100,2008
324960,100,2008
324961,100,2008
324962,100,2008
324963,100,2008
324964,100,2008
324965,100,2008
324966,100,2008
324967,100,2008
324968,100,2008
324969,100,2008
324970,100,2008
324971,100,2008
324972,100,2008
324973,100,2008
324974,100,2008
324975,100,2008
324976,100,2008
324977,100,2008
324978,100,2008
324979,100,2008
324980,100,2008
324981,100,2008
324982,100,2008
324983,100,2008
324984,100,2008
324985,100,2008
324986,100,2008
324987,100,2008
324988,100,2008
324989,100,2008
324990,100,2008
324991,100,2008
324992,100,2008
324993,100,2008
324994,100,2008
324995,100,2008
324996,100,2008
324997,100,2008
324998,100,2008
324999,100,2008
325000,100,2008
325001,100,2008
325002,100,2008
325003,100,2008
325004,100,2008
325005,100,2008
325006,100,2008
325007,100,2008
325008,100,2008
325009,100,2008
325010,100,2008
325011,100,2008
325012,100,2008
325013,100,2008
325014,100,2008
325015,100,2008
325016,100,2008
325017,100,2008
325018,100,2008
325019,100,2008
325020,100,2008
325021,100,2008
325022,100,2008
325023,100,2008
325024,100,2008
325025,100,2008
325026,100,2008
325027,100,2008
325028,100,2008
325029,100,2008
325030,100,2008
325031,100,2008
325032,100,2008
325033,100,2008
325034,100,2008
325035,100,2008
325036,100,2008
325037,100,2008
325038,100,2008
325039,100,2008
325040,100,2008
