scheda_temp,scheda,biblio_temp,biblio,contributo_temp,contributo,pagine,figura,livello
313,,,161,,,p. 109,9.30,4
313,,,173,38,,p. 490,37,4
314,,,161,,,p. 109,9.30,4
314,,,173,38,,p. 490,37,4
315,,,161,,,p. 109,9.30,4
315,,,173,38,,p. 490,37,4
316,,,161,,,p. 109,9.30,4
316,,,173,38,,p. 490,37,4
317,,11,,67,,p. 132,Tav. XXI.13.1.d,4
318,,11,,67,,p. 132,Tav. XXI.13.1.e,4
319,,13,,72,,p. 467,,4
319,,11,,63,,p. 210,Tav. XLIII.17.12d,4
320,,,173,33,,p. 504,7,4
320,,11,,66,,pp. 325-328,,4
321,,,161,,,p. 74,3.9,4
321,,,173,36,,p. 456,12,4
322,,,161,,,p. 173,29.7,4
322,,,173,32,,p. 107,cat. 44,4
324,,,161,,,p. 203,,4
324,,1,,2,,p. 295,fig. 146,4
325,,,56,,97,p. 343,fig. 286,4
325,,,161,,,p. 192,37.13,4
326,,13,,72,,p. 467,,4
326,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
327,,,161,,,p. 115,10,4
327,,,173,38,,p. 490,37,4
328,,,161,,,p. 201,39.3,4
329,,,161,,,p. 113,9.52,4
329,,,173,38,,p. 493,60,4
330,,,161,,,p. 115,10,4
330,,,173,38,,p. 492,51,4
331,,,161,,,p. 115,10,4
331,,,173,38,,p. 493,61,4
332,,,161,,,p. 115,10,4
332,,,173,38,,p. 493,62,4
333,,,161,,,p. 109,9.30,4
333,,,173,38,,p. 493,62,4
334,,,173,18,,p. 299,cat. 236,4
335,,,161,,,p. 115,9.58,4
335,,,173,38,,p. 490,37,4
336,,,173,39,,p. 489,26,4
336,,5,,44,,p. 256,,4
337,,,173,39,,p. 481,29,4
337,,5,,44,,p. 256,,4
338,,,173,39,,p. 479,21,4
338,,5,,44,,p. 203,,4
339,,,173,39,,p. 477,15,4
339,,5,,44,,p. 139,,4
340,,,173,39,,p. 479,23,4
340,,5,,44,,p. 256,,4
341,,,173,39,,p. 480,25,4
341,,5,,44,,p. 256,,4
342,,,173,39,,pp. 479-480,24,4
342,,5,,44,,p. 202,,4
343,,,173,39,,p. 480,27,4
343,,5,,44,,p. 203,,4
344,,,173,39,,pp. 478-479,20,4
344,,5,,44,,p. 139,,4
345,,,173,39,,p. 479,22,4
345,,5,,44,,p. 256,,4
346,,,173,39,,p. 481,30,4
346,,5,,44,,pp. 256-257,,4
347,,,173,39,,p. 481,30,4
347,,5,,44,,pp. 256-257,,4
348,,,173,39,,p. 481,30,4
348,,5,,44,,p. 256,,4
349,,5,,44,,p. 206,,4
349,,2,,,,p. 104,,4
350,,,173,39,,p. 481,30,4
350,,5,,44,,p. 256,,4
351,,,173,39,,p. 481,30,4
351,,5,,44,,p. 256,,4
352,,,178,,,p. 207,E3-26,4
352,,5,,44,,p. 267,,4
353,,,173,39,,p. 481,30,4
353,,5,,44,,p. 257,,4
354,,,173,39,,p. 477,13,4
354,,5,,44,,p. 256,,4
356,,,161,,,p. 109,9.21,4
356,,,173,38,,p. 493,58,4
357,,11,,67,,p. 151,Tav. XXV.13.18b,4
358,,,161,,,p. 111-113,9.46,4
358,,,173,38,,p. 489,22,4
361,,,95,4,,p. 56,,4
361,,,270,47,,pp. 186-187,,4
362,,,95,4,,p. 56,,4
362,,,270,47,,pp. 186-187,,4
363,,,273,82,,pp. 125-126.,,4
363,,4,,42,,p.79,,4
364,,,273,82,,pp. 125-126.,,4
364,,4,,43,,p.79,,4
365,,,282,77,,pp. 78-79,,4
368,,13,,72,,p. 467,,4
368,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
369,,13,,72,,p. 467,,4
369,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
