id_temp,scheda,materia,tecnica
657,,53,Tecnica non presente in lista
658,,53,Tecnica non presente in lista
659,,53,Tecnica non presente in lista
660,,53,Tecnica non presente in lista
661,,53,Tecnica non presente in lista
662,,53,Tecnica non presente in lista
663,,53,Tecnica non presente in lista
664,,184,"a sbalzo per impressione, ritaglio"
665,,272,a stampo
666,,25,a matrice
667,,25,a matrice
668,,25,a matrice
669,,25,a matrice
670,,25,a matrice
671,,25,a matrice
672,,25,a matrice
673,,272,soffiatura libera
674,,25,a matrice
675,,186,a intaglio
676,,53,Tecnica non presente in lista
677,,53,Tecnica non presente in lista
678,,53,Tecnica non presente in lista
679,,53,Tecnica non presente in lista
680,,53,Tecnica non presente in lista
681,,53,Tecnica non presente in lista
682,,53,Tecnica non presente in lista
683,,71,"fusione, battitura a caldo"
684,,71,"fusione, battitura a caldo"
685,,25,"a matrice, invetriatura"
686,,25,modellatura a tornio
687,,25,modellatura a tornio
688,,25,modellatura a tornio
689,,25,modellatura a tornio
690,,25,modellatura a tornio
691,,71,"fusione, battitura a caldo"
692,,25,modellatura a tornio
693,,34,fusione
694,,71,"fusione, battitura a caldo"
695,,25,modellatura a tornio
696,,25,modellatura a tornio
697,,25,modellatura a tornio
698,,25,modellatura a tornio
699,,25,modellatura a tornio
700,,25,modellatura a tornio
701,,25,modellatura a tornio
702,,71,"fusione, battitura a caldo"
703,,71,"fusione, battitura a caldo"
704,,25,modellatura a tornio
705,,25,modellatura a tornio
706,,25,modellatura a tornio
707,,25,modellatura a tornio
708,,25,modellatura a tornio
709,,25,modellatura a tornio
710,,25,modellatura a tornio
711,,25,modellatura a tornio
712,,25,modellatura a tornio
713,,25,modellatura a tornio
714,,272,soffiatura a stampo
715,,25,modellatura a tornio
716,,25,modellatura a tornio
717,,71,"fusione, battitura a caldo"
718,,34,fusione
719,,34,fusione
720,,272,soffiatura libera
721,,272,soffiatura libera
722,,71,"fusione, battitura a caldo"
723,,71,"fusione, battitura a caldo"
724,,34,fusione
725,,34,fusione
726,,34,"fusione, incisione"
727,,272,soffiatura libera
728,,25,a matrice
729,,25,a matrice
730,,25,a matrice
731,,25,a matrice
732,,25,a matrice
733,,25,a matrice
734,,272,soffiatura libera
735,,25,modellatura a tornio
736,,25,modellatura a tornio
737,,25,modellatura a tornio
738,,272,soffiatura libera
739,,272,soffiatura libera
740,,272,soffiatura libera
741,,272,soffiatura libera
742,,272,soffiatura libera
743,,272,soffiatura libera
744,,25,modellatura a tornio
745,,272,soffiatura libera
746,,272,soffiatura libera
747,,272,soffiatura libera
748,,272,soffiatura libera
749,,272,soffiatura libera
750,,272,soffiatura libera
751,,272,soffiatura libera
752,,25,modellatura a tornio
753,,25,modellatura a tornio
754,,53,Tecnica non presente in lista
755,,53,Tecnica non presente in lista
756,,53,Tecnica non presente in lista
757,,53,Tecnica non presente in lista
758,,53,Tecnica non presente in lista
759,,53,Tecnica non presente in lista
760,,53,Tecnica non presente in lista
761,,272,colatura libera
762,,272,colatura libera
763,,272,colatura libera
764,,272,colatura libera
765,,272,colatura libera
766,,272,colatura libera
767,,272,colatura libera
768,,272,colatura libera
769,,272,colatura libera
770,,272,colatura libera
771,,272,colatura libera
772,,272,colatura libera
773,,272,colatura libera
774,,272,colatura libera
775,,272,colatura libera
776,,272,colatura libera
777,,272,colatura libera
778,,272,colatura libera
779,,272,soffiatura libera
780,,272,soffiatura libera
781,,272,soffiatura libera
782,,186,a intaglio
783,,25,modellatura a tornio
784,,25,modellatura a tornio
785,,25,modellatura a tornio
786,,25,modellatura a tornio
787,,25,modellatura a tornio
788,,272,soffiatura libera
789,,34,fusione
790,,25,a matrice
791,,272,colatura libera
792,,272,colatura libera
793,,25,modellatura a tornio
794,,25,modellatura a tornio
795,,25,a matrice
796,,25,modellatura a tornio
797,,25,modellatura a tornio
798,,25,modellatura a tornio
799,,25,modellatura a tornio
800,,25,modellatura a tornio
801,,25,modellatura a tornio
802,,25,modellatura a tornio
803,,186,a intaglio
804,,186,a intaglio
805,,186,a intaglio
806,,186,a intaglio
807,,186,a intaglio
808,,25,a mano
809,,25,a mano
810,,272,colatura libera
811,,272,colatura libera
812,,272,colatura libera
813,,272,colatura libera
814,,272,colatura libera
815,,272,colatura libera
816,,272,colatura libera
817,,272,colatura libera
818,,272,colatura libera
819,,272,colatura libera
820,,272,colatura libera
821,,272,colatura libera
822,,272,colatura libera
823,,272,colatura libera
824,,272,colatura libera
825,,272,colatura libera
826,,272,colatura libera
827,,272,colatura libera
828,,272,colatura libera
829,,272,colatura libera
830,,272,colatura libera
831,,272,colatura libera
832,,272,colatura libera
833,,272,colatura libera
834,,272,colatura libera
835,,272,colatura libera
836,,272,colatura libera
837,,272,colatura libera
838,,272,colatura libera
839,,272,colatura libera
840,,272,colatura libera
841,,272,colatura libera
842,,272,colatura libera
843,,272,colatura libera
844,,272,colatura libera
845,,272,colatura libera
846,,272,colatura libera
847,,272,colatura libera
848,,272,colatura libera
849,,272,colatura libera
850,,272,colatura libera
851,,272,colatura libera
852,,272,colatura libera
853,,272,colatura libera
854,,272,colatura libera
855,,272,colatura libera
856,,272,colatura libera
857,,186,a intaglio
858,,53,Tecnica non presente in lista
859,,53,Tecnica non presente in lista
860,,53,Tecnica non presente in lista
861,,53,Tecnica non presente in lista
862,,53,Tecnica non presente in lista
863,,53,Tecnica non presente in lista
864,,53,Tecnica non presente in lista
865,,53,Tecnica non presente in lista
866,,53,Tecnica non presente in lista
867,,53,Tecnica non presente in lista
868,,53,Tecnica non presente in lista
869,,53,Tecnica non presente in lista
870,,53,Tecnica non presente in lista
871,,53,Tecnica non presente in lista
872,,53,Tecnica non presente in lista
873,,53,Tecnica non presente in lista
874,,53,Tecnica non presente in lista
875,,53,Tecnica non presente in lista
876,,53,Tecnica non presente in lista
877,,53,Tecnica non presente in lista
